filename,uid
sub-04_speech-silence.nii.gz,5fc7d3436ebcc6012446ab62
sub-04_voice-silence.nii.gz,5fc7d3446ebcc6012846acc5
sub-04_sentence-word.nii.gz,5fc7d3446ebcc6012846acc8
sub-04_word-consonant-string.nii.gz,5fc7d345aa60b8012f893847
sub-05_sentence-word.nii.gz,5fc7d3464269db01291c32a2
sub-05_speech-silence.nii.gz,5fc7d3474269db01191c9927
sub-05_voice-silence.nii.gz,5fc7d348aa60b8012e893216
sub-05_word-consonant-string.nii.gz,5fc7d3486ebcc6012746a865
sub-06_speech-silence.nii.gz,5fc7d3496ebcc6012846ace5
sub-06_sentence-word.nii.gz,5fc7d34aaa60b8012f893866
sub-06_voice-silence.nii.gz,5fc7d34b6ebcc6012746a875
sub-06_word-consonant-string.nii.gz,5fc7d34baa60b8012f893876
sub-07_sentence-word.nii.gz,5fc7d34c6ebcc6012846acf8
sub-07_speech-silence.nii.gz,5fc7d34d6ebcc6012846ad01
sub-07_voice-silence.nii.gz,5fc7d34eaa60b8012f893886
sub-07_word-consonant-string.nii.gz,5fc7d34faa60b8012e89322e
sub-09_sentence-word.nii.gz,5fc7d34f4269db01281c3055
sub-09_speech-silence.nii.gz,5fc7d3506ebcc6012846ad11
sub-09_word-consonant-string.nii.gz,5fc7d3514269db011e1c91cf
sub-09_voice-silence.nii.gz,5fc7d3516ebcc6012846ad19
sub-11_speech-silence.nii.gz,5fc7d352aa60b8012e89323c
sub-11_sentence-word.nii.gz,5fc7d3534269db01291c32d7
sub-11_voice-silence.nii.gz,5fc7d3546ebcc6012846ad2d
sub-12_speech-silence.nii.gz,5fc7d355aa60b8012f8938c3
sub-12_sentence-word.nii.gz,5fc7d3564269db01281c306b
sub-11_word-consonant-string.nii.gz,5fc7d3566ebcc6012846ad37
sub-12_word-consonant-string.nii.gz,5fc7d357aa60b8012e89324e
sub-12_voice-silence.nii.gz,5fc7d357aa60b8012e89324f
sub-13_speech-silence.nii.gz,5fc7d3596ebcc6012746a8b5
sub-13_sentence-word.nii.gz,5fc7d359aa60b8012f8938d7
sub-13_voice-silence.nii.gz,5fc7d35aaa60b8012f8938e1
sub-14_sentence-word.nii.gz,5fc7d35aaa60b8012f8938e6
sub-13_word-consonant-string.nii.gz,5fc7d35baa60b8012289ad61
sub-14_voice-silence.nii.gz,5fc7d35eaa60b8012f8938f7
sub-14_speech-silence.nii.gz,5fc7d35e4269db01281c3089
sub-14_word-consonant-string.nii.gz,5fc7d35faa60b8012f8938fd
