sid,betas,condition,run
sub-04,5fc7d3626ebcc6012846ad7d,5fc7d3604269db011f1cb3bb,5fc7d3606ebcc6012846ad6e
sub-05,5fc7d3664269db011f1cb3d7,5fc7d3616ebcc6012846ad74,5fc7d362aa60b8012289ad6c
sub-06,5fc7d367aa60b8012e893292,5fc7d363aa60b8012f89391e,5fc7d364aa60b8012e89327a
sub-07,5fc7d369aa60b8012f893946,5fc7d366aa60b8012c89422e,5fc7d367aa60b8012e89328d
sub-09,5fc7d36caa60b8012f893965,5fc7d369aa60b8012f893952,5fc7d369aa60b8012c89423a
sub-11,5fc7d36eaa60b8012f893979,5fc7d36a6ebcc6011a474dd6,5fc7d36caa60b8012e8932a7
sub-12,5fc7d3706ebcc6012846adcc,5fc7d36c6ebcc6012746a903,5fc7d36e4269db01281c30be
sub-13,5fc7d3736ebcc6012446abc7,5fc7d36faa60b8012f89397f,5fc7d36f6ebcc6012746a911
sub-14,5fc7d3766ebcc6012846ade2,5fc7d3714269db01191c9938,5fc7d3746ebcc6012746a920
